Filename,IoU,False Positive Rate (%),Recall (%),Predicted Area (%),Ground Truth Area (%)
pc27.png,0.59,39.81,97.73,18.25,11.24
pc18.png,0.93,5.24,98.27,14.81,14.29
pc12.png,0.85,14.58,99.52,15.87,13.62
pc23.png,0.97,3.15,99.81,17.86,17.33
pc14.png,0.89,5.14,93.13,7.14,7.28
pc17.png,0.92,7.86,99.43,14.42,13.36
pc26.png,0.77,12.28,86.89,13.76,13.89
pc16.png,0.76,16.63,89.11,8.20,7.67
pc15.png,0.90,6.13,95.27,8.99,8.86
pc24.png,0.88,10.03,98.15,9.52,8.73
pc20.png,0.93,0.64,93.61,15.08,16.01
pc21.png,0.94,3.82,97.15,13.23,13.10
pc13.png,0.79,21.15,100.00,13.76,10.85
pc11.png,0.73,26.53,100.00,12.96,9.52
pc25.png,0.53,37.76,78.08,9.13,7.28
pc10.png,0.93,3.56,96.44,10.85,10.85
pc22.png,0.00,100.00,0.00,10.19,7.14
